SKIP | GET /api/v1/health | server unreachable
SKIP | GET /api/v1/metrics | server unreachable
SKIP | GET /api/v1/governance | server unreachable
SKIP | POST /api/v1/admin/retained-results/purge | server unreachable
SKIP | POST /api/v1/training/datasets | server unreachable
SKIP | GET /api/v1/training/datasets?limit=20 | server unreachable
SKIP | GET /api/v1/training/notifications?limit=20 | server unreachable
SKIP | GET /api/v1/training/retraining/export?completeOnly=false | server unreachable
SKIP | POST /api/v1/training/retraining/jobs | server unreachable
SKIP | GET /api/v1/training/retraining/jobs/{jobId} | server unreachable
SKIP | POST /api/v1/training/retraining/jobs/{jobId}/start | server unreachable
SKIP | POST /api/v1/training/retraining/jobs/{jobId}/complete | server unreachable
SKIP | POST /api/v1/training/retraining/jobs/{jobId}/publish | server unreachable
SKIP | GET /api/v1/training/retraining/models/active | server unreachable
SKIP | POST /api/v1/route | server unreachable
SKIP | GET /api/v1/route/results/{resultSetId}/summary | server unreachable
SKIP | GET /api/v1/route/results/{resultSetId}/detail | server unreachable
SKIP | POST /api/v1/feedback/route/results/{resultSetId}/outcome | server unreachable
SKIP | POST /api/v1/matrix | server unreachable
SKIP | GET /api/v1/matrix/results/{resultSetId}/summary | server unreachable
SKIP | GET /api/v1/matrix/results/{resultSetId}/detail | server unreachable
SKIP | POST /api/v1/feedback/matrix/results/{resultSetId}/outcome | server unreachable
