53a300bd | CRITICAL | TOOLING | scripts/check-import-boundaries.js | FIXED | cycle=1 | 20260404_222027
a479496f | CRITICAL | TOOLING | pom.xml | FIXED | cycle=2 | 20260404_235705
c1760d3a | CRITICAL | TOOLING | pyproject.toml | FIXED | cycle=3 | 20260405_000135
1c4bfde8 | CRITICAL | TOOLING | .venv/bin/python -m mypy | FIXED | cycle=4 | 20260405_000704
0d142fb4 | CRITICAL | TYPE | src/main/python/learning/ingestion/contracts.py, src/main/python/learning/calibration/selector.py, src/main/python/learning/datasets/builder.py, src/main/python/tests/learning/test_temporal_feature_surface.py | FIXED | cycle=5 | 20260405_001124
d4e35c90 | CRITICAL | TOOLING | taro-frontend/package.json | FIXED | cycle=6 | 20260405_001401
5d277d17 | CRITICAL | TOOLING | scripts/check-api-contract.js | FIXED | cycle=7 | 20260405_002207
ff524e36 | MAJOR | STATIC | mvn verify | FIXED | cycle=8 | 20260405_002623
07fad5ad | MINOR | STYLE | src/main/java/org/Aayush/routing/execution/ExecutionProfileSpec.java:[1] | FIXED | cycle=9 | 20260405_003129
c0da90d7 | MINOR | STYLE | src/main/java/org/Aayush/routing/execution/ExecutionProfileSpec.java:[14,5] | FIXED | cycle=10 | 20260405_003409
8e6bb2ba | MINOR | STYLE | src/main/java/org/Aayush/routing/execution/ExecutionProfileSpec.java:[15,12] | FIXED | cycle=11 | 20260405_003737
3b9568d4 | MINOR | STYLE | src/main/java/org/Aayush/routing/execution/ExecutionProfileSpec.java:[16,5] | FIXED | cycle=12 | 20260405_004004
13fa0d93 | MINOR | STYLE | src/main/java/org/Aayush/routing/execution/ExecutionProfileSpec.java:[17,22] | FIXED | cycle=13 | 20260405_004308
63c97b8b | MINOR | STYLE | src/main/java/org/Aayush/routing/execution/ExecutionProfileSpec.java:[18,5] | FIXED | cycle=14 | 20260405_004618
eb69a3c2 | MINOR | STYLE | src/main/java/org/Aayush/routing/execution/ExecutionProfileSpec.java:[19,19] | FIXED | cycle=15 | 20260405_004924
2ace6ecf | MINOR | STYLE | src/main/java/org/Aayush/routing/execution/ExecutionProfileSpec.java:[24] | FIXED | cycle=16 | 20260405_005238
e3eadd57 | MINOR | STYLE | src/main/java/org/Aayush/routing/execution/ExecutionProfileSpec.java:[26,49] | FIXED | cycle=17 | 20260405_005552
e53e9dd9 | MINOR | STYLE | src/main/java/org/Aayush/routing/execution/ExecutionProfileSpec.java:[26,62] | FIXED | cycle=18 | 20260405_005900
85e56867 | MINOR | STYLE | src/main/java/org/Aayush/routing/execution/ExecutionProfileSpec.java:[38] | FIXED | cycle=19 | 20260405_010224
0befeb0d | MINOR | STYLE | src/main/java/org/Aayush/routing/execution/ExecutionProfileSpec.java:[40] | FIXED | cycle=20 | 20260405_010553
63034150 | MINOR | STYLE | src/main/java/org/Aayush/routing/execution/ExecutionProfileSpec.java:[41,13] | FIXED | cycle=21 | 20260405_010938
8e941227 | MINOR | STYLE | src/main/java/org/Aayush/routing/execution/ExecutionProfileSpec.java:[41,26] | FIXED | cycle=22 | 20260405_011358
5b826389 | MINOR | STYLE | src/main/java/org/Aayush/routing/execution/ExecutionProfileSpec.java:[43,13] | FIXED | cycle=23 | 20260405_011641
51475b56 | MINOR | STYLE | src/main/java/org/Aayush/routing/execution/ExecutionProfileSpec.java:[43,33] | FIXED | cycle=24 | 20260405_011949
e8014832 | MINOR | STYLE | src/main/java/org/Aayush/routing/execution/ExecutionRuntimeBinder.java:[30,9] | FIXED | cycle=25 | 20260405_012229
1b5b7eab | MINOR | STYLE | src/main/java/org/Aayush/routing/execution/ExecutionRuntimeBinder.java:[31,32] | FIXED | cycle=26 | 20260405_012532
471ee8fd | MINOR | STYLE | src/main/java/org/Aayush/routing/execution/ExecutionRuntimeBinder.java:[32,9] | FIXED | cycle=27 | 20260405_012819
63f7e9cf | MINOR | STYLE | src/main/java/org/Aayush/routing/execution/ExecutionRuntimeBinder.java:[33,34] | FIXED | cycle=28 | 20260405_013124
c549716c | MINOR | STYLE | src/main/java/org/Aayush/routing/execution/ExecutionRuntimeBinder.java:[34,9] | FIXED | cycle=29 | 20260405_013411
