year,quarter,source_airport,target_airport,distance_miles,passengers,average_fare,primary_carrier,primary_market_share,primary_carrier_fare,low_fare_carrier,low_fare_market_share,low_fare
2021,3,ABE,PIE,970,180,81.43,G4,1.0000,81.43,G4,1.0000,81.43
2021,3,ABE,TPA,970,19,208.93,DL,0.4659,219.98,UA,0.1193,154.11
2021,3,ABQ,DAL,580,204,184.56,WN,0.9968,184.44,WN,0.9968,184.44
2021,3,ABQ,DFW,580,264,182.64,AA,0.9774,183.09,AA,0.9774,183.09
2021,3,ABQ,PHX,328,398,177.11,WN,0.6061,184.49,AA,0.3939,165.77
2021,3,ABQ,BOS,1974,153,324.97,AA,0.4263,323.73,WN,0.1609,298.20
2021,3,ABQ,MHT,1974,16,315.90,WN,0.7285,270.42,WN,0.7285,270.42
2021,3,ABQ,PVD,1974,22,329.22,WN,0.5415,271.60,WN,0.5415,271.60
2021,3,ABQ,BWI,1670,159,255.89,WN,0.7212,244.89,WN,0.7212,244.89
2021,3,ABQ,DCA,1670,151,291.16,AA,0.4404,296.88,WN,0.3197,247.20
2021,3,ABQ,IAD,1670,59,343.58,UA,0.5646,382.06,WN,0.1402,266.61
2021,3,ABQ,MDW,1121,99,231.66,WN,0.9934,230.85,WN,0.9934,230.85
2021,3,ABQ,ORD,1121,206,241.25,AA,0.6869,229.41,AA,0.6869,229.41
2021,3,ABQ,HOU,759,166,203.93,WN,0.9712,203.44,WN,0.9712,203.44
2021,3,ABQ,IAH,759,148,232.85,UA,0.8512,235.69,WN,0.0447,213.54
2021,3,ABQ,EWR,1861,77,342.13,UA,0.3845,382.33,AA,0.3324,296.40
2021,3,ABQ,HPN,1861,3,356.92,DL,0.6154,358.24,AA,0.3462,350.22
2021,3,ABQ,ISP,1861,4,240.10,WN,0.8049,220.94,WN,0.8049,220.94
2021,3,ABQ,JFK,1861,177,251.78,B6,0.8338,234.07,B6,0.8338,234.07
2021,3,ABQ,LGA,1861,125,295.22,AA,0.5013,302.37,WN,0.2145,229.04
2021,3,ABQ,SWF,1861,0,427.50,AA,1.0000,427.50,AA,1.0000,427.50
2021,3,ABQ,OAK,896,216,194.36,WN,0.9638,193.20,WN,0.9638,193.20
2021,3,ABQ,SFO,896,188,246.07,UA,0.6493,255.54,WN,0.1346,221.69
2021,3,ABQ,SJC,896,61,209.22,WN,0.6566,200.07,WN,0.6566,200.07
2021,3,ABQ,BUR,677,39,205.45,WN,0.6592,205.43,AA,0.2430,196.01
2021,3,ABQ,LAX,677,572,172.93,DL,0.3790,181.73,WN,0.2572,158.14
2021,3,ABQ,LGB,677,12,201.28,WN,0.5636,187.75,DL,0.1182,180.77
2021,3,ABQ,ONT,677,52,212.31,WN,0.5933,204.21,WN,0.5933,204.21
2021,3,ABQ,SNA,677,79,222.87,WN,0.6140,216.43,AA,0.3201,215.59
2021,3,ACK,EWR,218,176,165.27,UA,0.5473,169.32,B6,0.4460,160.08
2021,3,ACK,HPN,218,78,189.08,B6,0.9958,188.57,B6,0.9958,188.57
2021,3,ACK,JFK,218,210,156.66,B6,0.7464,155.54,B6,0.7464,155.54
2021,3,ACK,LGA,218,135,157.09,B6,0.8460,153.24,B6,0.8460,153.24
2021,3,COS,DAL,602,194,122.76,WN,1.0000,122.76,WN,1.0000,122.76
2021,3,COS,DFW,602,343,154.47,AA,0.9800,153.63,AA,0.9800,153.63
2021,3,COS,PHX,551,261,120.59,WN,0.8219,124.41,F9,0.1164,67.59
2021,3,COS,BWI,1503,65,251.59,WN,0.5386,238.90,WN,0.5386,238.90
2021,3,COS,DCA,1503,84,278.14,AA,0.5724,287.79,WN,0.1886,199.98
2021,3,COS,IAD,1503,63,301.82,UA,0.6045,342.52,WN,0.2763,200.22
2021,3,COS,BUR,833,33,183.97,WN,0.6558,159.20,WN,0.6558,159.20
2021,3,COS,LAX,833,109,203.47,UA,0.6444,221.23,WN,0.2251,152.75
2021,3,COS,LGB,833,24,143.75,WN,0.8571,120.82,WN,0.8571,120.82
