record_id,region_index,region_label,corridor_id,corridor_label,source_hub,target_hub,time,day_of_week,hour_of_day,is_weekend,month,demand_index,temp_c,rain_mm,snow_mm,wind_kmh,cloud_cover_pct,visibility_km,incident_count,incident_severity,event_intensity,roadwork_active,school_holiday,transit_disruption_pct,baseline_flow_veh_per_h,observed_flow_veh_per_h,speed_kmh,free_flow_speed_kmh,congestion_level_pct,travel_time_per_10km_min,travel_time_p90_per_10km_min,travel_time_variability_pct
showcase-000000,0,Old Town Core,C01,Old Town Gate to River Market,Old Town Gate,River Market,2025-01-01T00:00,Wednesday,0,0,1,0.777,11.33,0.18,0.0,25.64,43.7,14.15,1,0.521,0.0,0,0,16.49,1650,1300,26.82,42.0,36.15,22.37,26.66,19.17
showcase-000001,1,North Heights,C02,Old Town Gate to Hill Junction,Old Town Gate,Hill Junction,2025-01-01T00:00,Wednesday,0,0,1,0.707,12.32,1.9,0.0,14.28,74.7,14.47,0,0.358,0.0,0,0,7.55,1520,976,27.52,48.0,42.66,21.8,25.33,16.18
showcase-000002,2,Harbor Belt,C03,River Market to Harbor Exchange,River Market,Harbor Exchange,2025-01-01T00:00,Wednesday,0,0,1,0.837,12.36,0.0,0.0,21.67,25.5,15.05,0,0.247,0.0,0,0,10.32,2140,1659,36.53,54.0,32.35,16.42,18.3,11.42
showcase-000003,3,Harbor Belt,C04,Hill Junction to Harbor Exchange,Hill Junction,Harbor Exchange,2025-01-01T00:00,Wednesday,0,0,1,0.807,12.79,0.31,0.0,26.05,51.0,15.91,0,0.226,0.0,0,0,9.8,1960,1511,32.08,52.0,38.31,18.7,20.53,9.81
showcase-000004,4,Civic Spine,C05,Old Town Gate to Harbor Exchange Loop,Old Town Gate,Harbor Exchange,2025-01-01T00:00,Wednesday,0,0,1,0.787,12.77,0.38,0.0,23.52,39.8,15.87,2,0.677,0.0,0,0,25.73,1880,1518,20.31,50.0,59.37,29.54,39.69,34.35
showcase-000005,5,Entertainment Mile,C06,River Market to Stadium Mile,River Market,Stadium Mile,2025-01-01T00:00,Wednesday,0,0,1,0.737,12.83,0.38,0.0,20.07,52.8,13.75,0,0.257,0.0,0,0,4.78,1760,1232,32.04,46.0,30.34,18.72,20.41,9.03
showcase-000006,6,Entertainment Mile,C07,Stadium Mile to Harbor Exchange,Stadium Mile,Harbor Exchange,2025-01-01T00:00,Wednesday,0,0,1,0.817,11.19,0.02,0.0,21.36,52.5,14.23,1,0.371,0.0,0,0,11.05,1940,1472,26.4,44.0,40.0,22.73,26.7,17.47
showcase-000007,7,Campus Ridge,C08,Hill Junction to University Spur,Hill Junction,University Spur,2025-01-01T00:00,Wednesday,0,0,1,0.667,10.69,0.52,0.0,24.01,44.5,14.06,0,0.387,0.0,0,0,11.2,1380,817,40.32,57.0,29.27,14.88,16.59,11.51
showcase-000008,8,Innovation Arc,C09,University Spur to Tech Park,University Spur,Tech Park,2025-01-01T00:00,Wednesday,0,0,1,0.717,11.1,0.0,0.0,16.03,46.2,14.24,0,0.205,0.0,0,0,8.35,1490,1064,42.3,61.0,30.65,14.18,15.6,10.03
showcase-000009,9,Logistics South,C10,Industrial Belt to Harbor Exchange,Industrial Belt,Harbor Exchange,2025-01-01T00:00,Wednesday,0,0,1,0.767,11.66,0.88,0.0,12.91,61.9,15.28,0,0.249,0.0,0,0,7.07,2060,1398,39.14,58.0,32.51,15.33,16.93,10.46
